feature,gain
is_weekend,1562.7034912109375
hour,1153.46044921875
station_id,915.788818359375
net_flow_avg_last4_sameslot,668.59228515625
borough,647.941162109375
net_flow_rollavg_24h,611.0360107421875
day_of_week,481.03436279296875
lat,300.707275390625
net_flow,290.06707763671875
lng,289.27557373046875
arrivals,273.9505615234375
net_flow_lag_24h,264.7796325683594
event_count,257.1819763183594
departures,229.74465942382812
relative_humidity_2m,224.49734497070312
temperature_2m,211.2004852294922
precipitation,179.83758544921875
month,163.61932373046875
weather_code,134.82823181152344
net_flow_lag_1h,132.05438232421875
major_event_count,128.78550720214844
is_holiday,125.03068542480469
wind_speed_10m,123.81659698486328
cloud_cover,119.57137298583984
net_flow_lag_168h,113.97000885009766
rain,93.85980987548828
