feature,gain
is_weekend,4213.66552734375
hour,2520.650146484375
net_flow_rollavg_24h,2179.36181640625
station_id,1902.8974609375
net_flow_avg_last4_sameslot,1189.089111328125
net_flow,911.251708984375
day_of_week,828.4660034179688
net_flow_lag_24h,788.692138671875
lng,590.4799194335938
borough,560.5388793945312
departures,536.9725952148438
arrivals,477.9747314453125
relative_humidity_2m,462.12493896484375
lat,430.6514892578125
event_count,390.9744567871094
net_flow_lag_1h,373.9599609375
temperature_2m,332.2655944824219
is_holiday,273.79443359375
major_event_count,257.729736328125
month,249.13955688476562
net_flow_lag_168h,210.53907775878906
wind_speed_10m,207.93556213378906
precipitation,206.42803955078125
cloud_cover,180.3028106689453
weather_code,160.05857849121094
rain,142.76206970214844
